Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi",PG-13,4K&BR&DC,2018,128 min,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",51Children of Dune,"Adventure, Drama, Fantasy, Sci-Fi",UNRATED,Two-Disc DVD Set,2003ï¿½,266 min,"The twins of Paul ""Muad'dib"" Atreides become embroiled in the political landscape of Arrakis (""Dune"") and the rest of the universe.",N/AOperation Petticoat,"Comedy, Romance, War",NR,blu-ray Disc,1959,124 min,"During World War II, a commander finds himself stuck with a decrepit (and pink) submarine, a con man executive officer, and a group of army nurses.",N/AIn Harms Way,"Military, Drama",NR,DVD,1965,N/A,N/A,N/AMan of Steel,"Action, Adventure, Fantasy, Sci-Fi",PG-13,3-d,2013,143 min,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",55The Fifth Element,"Action, Adventure, Sci-Fi",PG-13,dvd,1997,126 min,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",52Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",PG-13,blu-ray 3d,2014,165 min,"Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.",32Dark Tower,"Horror, Mystery, Thriller",R,blu ray w/ultraviolet,1989,91 min,The construction of a skyscraper is being haunted by a ghost.,N/ASamson,"Action, Drama",PG-13,BR&DVD&DC,2018,110 min,"After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.",17Geostorm,"Action, Sci-Fi, Thriller",PG-13,,2017,109 min,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",21Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror",R,2 Disc,2013,88 min,"Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past.",23Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",PG,2 Disc,2001,152 min,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",64Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy, Mystery",PG,"DVD, Widescreen",2002,161 min,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,63Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy, Mystery",PG,dvd,2004,142 min,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",82Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy, Mystery",PG-13,"DVD Widescreen",2005,157 min,"A young wizard finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",81Harry Potter and the Order of the Phoenix,"Adventure, Family, Fantasy, Mystery",PG-13,DVD,2007,138 min,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",71Harry Potter and the Half-Blood Prince,"Adventure, Family, Fantasy, Mystery",PG,BR&DVD&DC,2009,153 min,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",78Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy, Mystery",PG-13,Blu-ray 3D/Blu-ray/DVD + Digital Copy,2011,130 min,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",87Harry Potter and the Deathly Hallows: Part 1,"Adventure, Fantasy, Mystery",PG-13,BR&DVD&DC,2010,146 min,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",65Venom,"Action, Sci-Fi",N/A,4K&BR&DC,2018,112 min,"When Eddie Brock acquires the powers of a symbiote, he will have to release his alter-ego ""Venom"" to save his life.",35Mission: Impossible - Fallout,"Action, Adventure, Thriller",PG-13,4K&BR&DC,2018,147 min,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",86Justice League: Throne of Atlantis,"Animation, Action, Adventure, Sci-Fi",PG-13,4K&BR&DC,2015,72 min,"When Atlantian troops assault Metropolis as revenge for the death of their king, the Queen seeks help from the Justice League to find her son who has gone missing during the madness.",N/AKin,"Action, Sci-Fi",N/A,BR&DVD&DC,2018,102 min,"Chased by a vengeful criminal, the feds and a gang of otherworldly soldiers, a recently released ex-con, and his adopted teenage brother are forced to go on the run with a weapon of mysterious origin as their only protection.",35Ant-Man and the Wasp,"Action, Adventure, Comedy, Sci-Fi",PG-13,4K&BR&DC,2018,118 min,"As Scott Lang balances being both a Super Hero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",70Transformers: The Last Knight,"Action, Adventure, Sci-Fi",PG-13,4K&BR&DC,2017,154 min,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",27Skyscraper,"Action, Adventure, Thriller",PG-13,4K&BR&DC,2018,102 min,"A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",51Frozen,"Animation, Adventure, Comedy, Family, Fantasy, Musical",PG,BR&DVD&DC,2013,102 min,"When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",74Solo: A Star Wars Story,"Action, Adventure, Fantasy, Sci-Fi",PG-13,,2018,135 min,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",62Incredibles 2,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",PG,4K&BR&DC,2018,118 min,Bob Parr (Mr. Incredible) is left to care for the kids while Helen (Elastigirl) is out saving the world.,80The House with a Clock in Its Walls,"Comedy, Family, Fantasy, Horror, Mystery, Sci-Fi, Thriller",N/A,4K&BR&DC,2018,105 min,A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.,57Space Cowboys,"Action, Adventure, Thriller",PG-13,DVD,Widescreen,2000,130 min,"When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",73
Brotherhood of the Wolf,"Action, Adventure, Drama, Horror, Thriller",R,DVD,Widescreen,2001,142 min,"In 18th century France, the Chevalier de Fronsac and his native American friend Mani are sent by the King to the Gevaudan province to investigate the killings of hundreds by a mysterious beast.",57
Dungeons & Dragons,"Action, Adventure, Fantasy",PG-13,DVD,Widescreen,2000,107 min,"Profion, a tyrant, attempts to overthrow a peaceful kingdom ruled by a tough empress.",14
Don't Say a Word,"Drama, Mystery, Thriller",R,DVD,Widescreen,2001,113 min,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret...",38
Deep Impact,"Action, Drama, Romance, Sci-Fi, Thriller",PG-13,DVD,Widescreen,1998,120 min,"Unless a comet can be destroyed before colliding with Earth, only those allowed into shelters will survive. Which people will survive?",40
The Cutting Edge: The Magic of Movie Editing,Documentary,N/A,DVD,Widescreen,2004,98 min,Documentary about the art of film editing. Clips are shown from many groundbreaking films with innovative editing styles.,N/A
The Accountant & the Clown,"Short, Comedy, Horror",N/A,BR&D&DC,Widescreen,2008,6 min,"Larry, a mild mannered accountant whom waiting for his bus notices a sobbing clown on a bench. Can this introverted number cruncher bring light to this tortured soul?",N/A
American Pie 2,Comedy,R,DVD,Widescreen,2001,108 min,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",43
Armageddon,"Action, Adventure, Sci-Fi, Thriller",PG-13,DVD,Widescreen,1998,151 min,"After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, N.A.S.A. recruits a misfit team of deep core drillers to save the planet.",42
Bedazzled,"Comedy, Fantasy",PG-13,DVD,Widescreen,2000,93 min,"Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul.",49
Beowulf,"Animation, Action, Adventure, Fantasy",PG-13,DVD,Widescreen,2007,115 min,"The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing Denmark, and later, Grendel's mother, who begins killing out of revenge.",59
